Name of Utility,Year,Month,# Residential Customers,# Past Due Residential Customers
Dakota Electric Association,2021,Aug,,
Dakota Electric Association,2021,Sep,,
Dakota Electric Association,2021,Oct,,
Dakota Electric Association,2021,Nov,,
CenterPoint Energy,2021,Jan,820229,95149
CenterPoint Energy,2021,Feb,820870,117803
CenterPoint Energy,2021,Mar,821718,104263
CenterPoint Energy,2021,Apr,822072,107541
CenterPoint Energy,2021,May,822530,113224
CenterPoint Energy,2021,Jun,,
CenterPoint Energy,2021,Jul,,
CenterPoint Energy,2021,Aug,,
CenterPoint Energy,2021,Sep,,
CenterPoint Energy,2021,Oct,,
CenterPoint Energy,2021,Nov,,
CenterPoint Energy,2021,Dec,,
Otter Tail Power Company,2021,Jan,51736,7259
Otter Tail Power Company,2021,Feb,51718,7556
Otter Tail Power Company,2021,Mar,51756,6534
Otter Tail Power Company,2021,Apr,51934,6559
Otter Tail Power Company,2021,May,52044,6820
Otter Tail Power Company,2021,Jun,,
Otter Tail Power Company,2021,Jul,,
Otter Tail Power Company,2021,Aug,,
Otter Tail Power Company,2021,Sep,,
Otter Tail Power Company,2021,Oct,,
Otter Tail Power Company,2021,Nov,,
Otter Tail Power Company,2021,Dec,,
Xcel Energy,2021,Jan,1272982,157858
Xcel Energy,2021,Feb,1275089,164447
Xcel Energy,2021,Mar,1277697,154310
Xcel Energy,2021,Apr,1279514,159776
Xcel Energy,2021,May,1281437,167073
Xcel Energy,2021,Jun,,
Xcel Energy,2021,Jul,,
Xcel Energy,2021,Aug,,
Xcel Energy,2021,Sep,,
Xcel Energy,2021,Oct,,
Xcel Energy,2021,Nov,,
Xcel Energy,2021,Dec,,
Minnesota Power,2021,Jan,106981,13182
Minnesota Power,2021,Feb,106927,13063
Minnesota Power,2021,Mar,107044,12998
Minnesota Power,2021,Apr,107157,13474
Minnesota Power,2021,May,107462,13819
Minnesota Power,2021,Jun,,
Minnesota Power,2021,Jul,,
Minnesota Power,2021,Aug,,
Minnesota Power,2021,Sep,,
Minnesota Power,2021,Oct,,
Minnesota Power,2021,Nov,,
Minnesota Power,2021,Dec,,
Minnesota Energy Resources,2021,Jan,214202,31164
Minnesota Energy Resources,2021,Feb,214364,33017
Minnesota Energy Resources,2021,Mar,214368,29317
Minnesota Energy Resources,2021,Apr,214382,30134
Minnesota Energy Resources,2021,May,214416,32815
Minnesota Energy Resources,2021,Jun,,
Minnesota Energy Resources,2021,Jul,,
Minnesota Energy Resources,2021,Aug,,
Minnesota Energy Resources,2021,Sep,,
Minnesota Energy Resources,2021,Oct,,
Minnesota Energy Resources,2021,Nov,,
Minnesota Energy Resources,2021,Dec,,
Dakota Electric Association,2021,Jan,102773,18736
Dakota Electric Association,2021,Feb,102886,18188
Dakota Electric Association,2021,Mar,103002,11757
Dakota Electric Association,2021,Apr,103123,12080
Dakota Electric Association,2021,May,103276,13170
Dakota Electric Association,2021,Jun,103073,11598
Dakota Electric Association,2021,Jul,,
Dakota Electric Association,2021,Aug,,
Dakota Electric Association,2021,Sep,,
Dakota Electric Association,2021,Oct,,
Dakota Electric Association,2021,Nov,,
Dakota Electric Association,2021,Jan,102773,18736
Dakota Electric Association,2021,Feb,102886,18188
Dakota Electric Association,2021,Mar,103002,11757
Dakota Electric Association,2021,Apr,103123,12080
Dakota Electric Association,2021,May,103276,13170
Dakota Electric Association,2021,Jun,103073,11598
Dakota Electric Association,2021,Jul,,
Dakota Electric Association,2021,Aug,,
Dakota Electric Association,2021,Sep,,
Dakota Electric Association,2021,Oct,,
Dakota Electric Association,2021,Nov,,
Minnesota Energy Resources,2021,Jan,214202,31164
Minnesota Energy Resources,2021,Feb,214364,33017
Minnesota Energy Resources,2021,Mar,214368,29317
Minnesota Energy Resources,2021,Apr,214382,30134
Minnesota Energy Resources,2021,May,214416,32815
Minnesota Energy Resources,2021,Jun,214344,30807
Minnesota Energy Resources,2021,Jul,,
Minnesota Energy Resources,2021,Aug,,
Minnesota Energy Resources,2021,Sep,,
Minnesota Energy Resources,2021,Oct,,
Minnesota Energy Resources,2021,Nov,,
Minnesota Energy Resources,2021,Dec,,
Minnesota Power,2021,Jan,106981,13182
Minnesota Power,2021,Feb,106927,13063
Minnesota Power,2021,Mar,107044,12998
Minnesota Power,2021,Apr,107157,13474
Minnesota Power,2021,May,107462,13819
Minnesota Power,2021,Jun,,
Minnesota Power,2021,Jul,,
Minnesota Power,2021,Aug,,
Minnesota Power,2021,Sep,,
Minnesota Power,2021,Oct,,
Minnesota Power,2021,Nov,,
Minnesota Power,2021,Dec,,
Otter Tail Power Company,2021,Jan,51736,7259
Otter Tail Power Company,2021,Feb,51718,7556
Otter Tail Power Company,2021,Mar,51756,6534
Otter Tail Power Company,2021,Apr,51934,6559
Otter Tail Power Company,2021,May,52044,6820
Otter Tail Power Company,2021,Jun,52094,7134
Otter Tail Power Company,2021,Jul,,
Otter Tail Power Company,2021,Aug,,
Otter Tail Power Company,2021,Sep,,
Otter Tail Power Company,2021,Oct,,
Otter Tail Power Company,2021,Nov,,
Otter Tail Power Company,2021,Dec,,
CenterPoint Energy,2021,Jan,820229,95149
CenterPoint Energy,2021,Feb,820870,117803
CenterPoint Energy,2021,Mar,821718,104263
CenterPoint Energy,2021,Apr,822072,107541
CenterPoint Energy,2021,May,822530,113224
CenterPoint Energy,2021,Jun,823418,114675
CenterPoint Energy,2021,Jul,,
CenterPoint Energy,2021,Aug,,
CenterPoint Energy,2021,Sep,,
CenterPoint Energy,2021,Oct,,
CenterPoint Energy,2021,Nov,,
CenterPoint Energy,2021,Dec,,
Xcel Energy,2021,Jan,1272982,157858
Xcel Energy,2021,Feb,1275089,164447
Xcel Energy,2021,Mar,1277697,154310
Xcel Energy,2021,Apr,1279514,159776
Xcel Energy,2021,May,1281437,167073
Xcel Energy,2021,Jun,1281509,158224
Xcel Energy,2021,Jul,,
Xcel Energy,2021,Aug,,
Xcel Energy,2021,Sep,,
Xcel Energy,2021,Oct,,
Xcel Energy,2021,Nov,,
Xcel Energy,2021,Dec,,
Minnesota Power,2021,Jan,106981,13182
Minnesota Power,2021,Feb,106927,13063
Minnesota Power,2021,Mar,107044,12998
Minnesota Power,2021,Apr,107157,13474
Minnesota Power,2021,May,107462,13819
Minnesota Power,2021,Jun,107759,14036
Minnesota Power,2021,Jul,,
Minnesota Power,2021,Aug,,
Minnesota Power,2021,Sep,,
Minnesota Power,2021,Oct,,
Minnesota Power,2021,Nov,,
Minnesota Power,2021,Dec,,
Dakota Electric Association,2021,Jan,102773,18736
Dakota Electric Association,2021,Feb,102886,18188
Dakota Electric Association,2021,Mar,103002,11757
Dakota Electric Association,2021,Apr,103123,12080
Dakota Electric Association,2021,May,103276,13170
Dakota Electric Association,2021,Jun,103073,11598
Dakota Electric Association,2021,Jul,103408,16673
Dakota Electric Association,2021,Aug,,
Dakota Electric Association,2021,Sep,,
Dakota Electric Association,2021,Oct,,
Dakota Electric Association,2021,Nov,,
Dakota Electric Association,2021,Jan,102773,18736
Dakota Electric Association,2021,Feb,102886,18188
Dakota Electric Association,2021,Mar,103002,11757
Dakota Electric Association,2021,Apr,103123,12080
Dakota Electric Association,2021,May,103276,13170
Dakota Electric Association,2021,Jun,103073,11598
Dakota Electric Association,2021,Jul,103408,16673
Dakota Electric Association,2021,Aug,,
Dakota Electric Association,2021,Sep,,
Dakota Electric Association,2021,Oct,,
Dakota Electric Association,2021,Nov,,
Xcel Energy,2021,Jan,1272982,157858
Xcel Energy,2021,Feb,1275089,164447
Xcel Energy,2021,Mar,1277697,154310
Xcel Energy,2021,Apr,1279514,159776
Xcel Energy,2021,May,1281437,167073
Xcel Energy,2021,Jun,1281509,158224
Xcel Energy,2021,Jul,1283697,161129
Xcel Energy,2021,Aug,,
Xcel Energy,2021,Sep,,
Xcel Energy,2021,Oct,,
Xcel Energy,2021,Nov,,
Xcel Energy,2021,Dec,,
Minnesota Energy Resources,2021,Jan,214202,31164
Minnesota Energy Resources,2021,Feb,214364,33017
Minnesota Energy Resources,2021,Mar,214368,29317
Minnesota Energy Resources,2021,Apr,214382,30134
Minnesota Energy Resources,2021,May,214416,32815
Minnesota Energy Resources,2021,Jun,214344,30807
Minnesota Energy Resources,2021,Jul,214330,31494
Minnesota Energy Resources,2021,Aug,,
Minnesota Energy Resources,2021,Sep,,
Minnesota Energy Resources,2021,Oct,,
Minnesota Energy Resources,2021,Nov,,
Minnesota Energy Resources,2021,Dec,,
CenterPoint Energy,2021,Jan,820229,95149
CenterPoint Energy,2021,Feb,820870,117803
CenterPoint Energy,2021,Mar,821718,104263
CenterPoint Energy,2021,Apr,822072,107541
CenterPoint Energy,2021,May,822530,113224
CenterPoint Energy,2021,Jun,823418,114675
CenterPoint Energy,2021,Jul,823781,114790
CenterPoint Energy,2021,Aug,,
CenterPoint Energy,2021,Sep,,
CenterPoint Energy,2021,Oct,,
CenterPoint Energy,2021,Nov,,
CenterPoint Energy,2021,Dec,,
Minnesota Power,2021,Jan,106981,13182
Minnesota Power,2021,Feb,106927,13063
Minnesota Power,2021,Mar,107044,12998
Minnesota Power,2021,Apr,107157,13474
Minnesota Power,2021,May,107462,13819
Minnesota Power,2021,Jun,107759,14036
Minnesota Power,2021,Jul,107494,14186
Minnesota Power,2021,Aug,,
Minnesota Power,2021,Sep,,
Minnesota Power,2021,Oct,,
Minnesota Power,2021,Nov,,
Minnesota Power,2021,Dec,,
Dakota Electric Association,2021,Jan,102773,18736
Dakota Electric Association,2021,Feb,102886,18188
Dakota Electric Association,2021,Mar,103002,11757
Dakota Electric Association,2021,Apr,103123,12080
Dakota Electric Association,2021,May,103276,13170
Dakota Electric Association,2021,Jun,103073,11598
Dakota Electric Association,2021,Jul,103408,16673
Dakota Electric Association,2021,Aug,103280,10890
Dakota Electric Association,2021,Sep,,
Dakota Electric Association,2021,Oct,,
Dakota Electric Association,2021,Nov,,
Dakota Electric Association,2021,Jan,102773,18736
Dakota Electric Association,2021,Feb,102886,18188
Dakota Electric Association,2021,Mar,103002,11757
Dakota Electric Association,2021,Apr,103123,12080
Dakota Electric Association,2021,May,103276,13170
Dakota Electric Association,2021,Jun,103073,11598
Dakota Electric Association,2021,Jul,103408,16673
Dakota Electric Association,2021,Aug,103280,10890
Dakota Electric Association,2021,Sep,,
Dakota Electric Association,2021,Oct,,
Dakota Electric Association,2021,Nov,,
Xcel Energy,2021,Jan,1272982,157858
Xcel Energy,2021,Feb,1275089,164447
Xcel Energy,2021,Mar,1277697,154310
Xcel Energy,2021,Apr,1279514,159776
Xcel Energy,2021,May,1281437,167073
Xcel Energy,2021,Jun,1281509,158224
Xcel Energy,2021,Jul,1283697,161129
Xcel Energy,2021,Aug,1284129,168450
Xcel Energy,2021,Sep,,
Xcel Energy,2021,Oct,,
Xcel Energy,2021,Nov,,
Xcel Energy,2021,Dec,,
CenterPoint Energy,2021,Jan,820229,95149
CenterPoint Energy,2021,Feb,820870,117803
CenterPoint Energy,2021,Mar,821718,104263
CenterPoint Energy,2021,Apr,822072,107541
CenterPoint Energy,2021,May,822530,113224
CenterPoint Energy,2021,Jun,823418,114675
CenterPoint Energy,2021,Jul,823781,114790
CenterPoint Energy,2021,Aug,824944,101488
CenterPoint Energy,2021,Sep,,
CenterPoint Energy,2021,Oct,,
CenterPoint Energy,2021,Nov,,
CenterPoint Energy,2021,Dec,,
Minnesota Power,2021,Jan,106981,13182
Minnesota Power,2021,Feb,106927,13063
Minnesota Power,2021,Mar,107044,12998
Minnesota Power,2021,Apr,107157,13474
Minnesota Power,2021,May,107462,13819
Minnesota Power,2021,Jun,107759,14036
Minnesota Power,2021,Jul,107494,14186
Minnesota Power,2021,Aug,107914,13434
Minnesota Power,2021,Sep,,
Minnesota Power,2021,Oct,,
Minnesota Power,2021,Nov,,
Minnesota Power,2021,Dec,,
Otter Tail Power Company,2021,Jan,51736,7259
Otter Tail Power Company,2021,Feb,51718,7556
Otter Tail Power Company,2021,Mar,51756,6534
Otter Tail Power Company,2021,Apr,51934,6559
Otter Tail Power Company,2021,May,52044,6820
Otter Tail Power Company,2021,Jun,52094,7134
Otter Tail Power Company,2021,Jul,52116,7093
Otter Tail Power Company,2021,Aug,52140,6812
Otter Tail Power Company,2021,Sep,,
Otter Tail Power Company,2021,Oct,,
Otter Tail Power Company,2021,Nov,,
Otter Tail Power Company,2021,Dec,,
Minnesota Energy Resources,2021,Jan,214202,31164
Minnesota Energy Resources,2021,Feb,214364,33017
Minnesota Energy Resources,2021,Mar,214368,29317
Minnesota Energy Resources,2021,Apr,214382,30134
Minnesota Energy Resources,2021,May,214416,32815
Minnesota Energy Resources,2021,Jun,214344,30807
Minnesota Energy Resources,2021,Jul,214330,31494
Minnesota Energy Resources,2021,Aug,214418,31650
Minnesota Energy Resources,2021,Sep,,
Minnesota Energy Resources,2021,Oct,,
Minnesota Energy Resources,2021,Nov,,
Minnesota Energy Resources,2021,Dec,,
Minnesota Energy Resources,2021,Jan,214202,31164
Minnesota Energy Resources,2021,Feb,214364,33017
Minnesota Energy Resources,2021,Mar,214368,29317
Minnesota Energy Resources,2021,Apr,214382,30134
Minnesota Energy Resources,2021,May,214416,32815
Minnesota Energy Resources,2021,Jun,214344,30807
Minnesota Energy Resources,2021,Jul,214330,31494
Minnesota Energy Resources,2021,Aug,214418,31650
Minnesota Energy Resources,2021,Sep,,
Minnesota Energy Resources,2021,Oct,,
Minnesota Energy Resources,2021,Nov,,
Minnesota Energy Resources,2021,Dec,,
